FID,the_geom,COUNTRY
police_station_wgs84.118,POINT (-77.36868392232635 18.39142138988244),JAMAICA
police_station_wgs84.119,POINT (-77.44964628525693 18.38614636537542),JAMAICA
police_station_wgs84.120,POINT (-78.18557189303903 18.31066028489012),JAMAICA
police_station_wgs84.121,POINT (-78.21827460358317 18.245289383835807),JAMAICA
police_station_wgs84.122,POINT (-77.99665505256883 18.331226255821438),JAMAICA
police_station_wgs84.123,POINT (-77.97362650305433 18.232117067918015),JAMAICA
police_station_wgs84.124,POINT (-77.9516504221577 18.29614484981785),JAMAICA
police_station_wgs84.125,POINT (-77.90292873172739 18.31685715020269),JAMAICA
police_station_wgs84.126,POINT (-77.26471478014808 18.39170794459452),JAMAICA
police_station_wgs84.127,POINT (-77.19932729186479 18.43581030810753),JAMAICA
police_station_wgs84.128,POINT (-77.10230538578118 18.40818875388769),JAMAICA
police_station_wgs84.129,POINT (-77.02663723299762 18.395941163003588),JAMAICA
police_station_wgs84.130,POINT (-77.58240172809731 18.262551246538003),JAMAICA
police_station_wgs84.131,POINT (-77.52171013312808 18.310446847457964),JAMAICA
police_station_wgs84.132,POINT (-77.41103238824856 18.306083111139085),JAMAICA
police_station_wgs84.133,POINT (-78.02732710388418 18.166063490818622),JAMAICA
police_station_wgs84.134,POINT (-77.70945372338761 18.168898170494952),JAMAICA
police_station_wgs84.135,POINT (-77.76079643233294 18.159473089513998),JAMAICA
police_station_wgs84.136,POINT (-77.91524165122698 18.161837772256654),JAMAICA
police_station_wgs84.137,POINT (-77.756794482474 18.0741581996453),JAMAICA
police_station_wgs84.138,POINT (-78.17178982123627 18.44628129725864),JAMAICA
police_station_wgs84.139,POINT (-77.69885885631386 18.050475189855266),JAMAICA
police_station_wgs84.140,POINT (-77.738939851351 17.889915190357875),JAMAICA
police_station_wgs84.141,POINT (-77.70173041625829 17.97469256882765),JAMAICA
police_station_wgs84.142,POINT (-77.59391326556684 17.88297070699832),JAMAICA
police_station_wgs84.143,POINT (-77.59997512270482 17.966194482721434),JAMAICA
police_station_wgs84.144,POINT (-77.50243087498029 17.900201799170667),JAMAICA
police_station_wgs84.145,POINT (-77.4234823897 17.916850177715624),JAMAICA
police_station_wgs84.146,POINT (-77.35243611793925 17.881684156889417),JAMAICA
police_station_wgs84.147,POINT (-77.294186928105 17.96912471359714),JAMAICA
police_station_wgs84.148,POINT (-77.29896380034062 17.838696862213634),JAMAICA
police_station_wgs84.149,POINT (-77.5666910647337 17.86972963284242),JAMAICA
police_station_wgs84.150,POINT (-77.32906399518264 18.02769535460815),JAMAICA
police_station_wgs84.151,POINT (-77.41129743581818 18.034114708253338),JAMAICA
police_station_wgs84.152,POINT (-77.50728448137909 18.03944454498685),JAMAICA
police_station_wgs84.153,POINT (-77.46508393774566 18.070678620012554),JAMAICA
police_station_wgs84.154,POINT (-77.48665102256993 18.085756290072247),JAMAICA
police_station_wgs84.155,POINT (-77.36415556247711 18.145064138292767),JAMAICA
police_station_wgs84.156,POINT (-77.45488705959012 18.154869079434203),JAMAICA
police_station_wgs84.157,POINT (-77.64542911968657 18.172139199551246),JAMAICA
police_station_wgs84.158,POINT (-77.49095255488906 18.17506981181189),JAMAICA
police_station_wgs84.159,POINT (-77.96470483521192 18.089686617240783),JAMAICA
police_station_wgs84.160,POINT (-77.22389936709185 18.447402484961593),JAMAICA
police_station_wgs84.161,POINT (-77.35180727701346 18.30846839767533),JAMAICA
police_station_wgs84.162,POINT (-76.84056661554683 18.006135887307867),JAMAICA
police_station_wgs84.163,POINT (-76.78285170143927 18.0236535723954),JAMAICA
police_station_wgs84.164,POINT (-76.7440388442885 17.998935386572114),JAMAICA
police_station_wgs84.165,POINT (-76.83820355755171 18.03218071181378),JAMAICA
police_station_wgs84.166,POINT (-77.51769633481291 18.249516955264628),JAMAICA
police_station_wgs84.167,POINT (-77.91003888428165 18.46746686769838),JAMAICA
police_station_wgs84.168,POINT (-77.84217596565755 18.397040085806708),JAMAICA
police_station_wgs84.169,POINT (-78.04004804590996 18.26096607886211),JAMAICA
police_station_wgs84.170,POINT (-76.40097080744451 18.0402205171932),JAMAICA
police_station_wgs84.171,POINT (-76.71509107991531 18.12981100267564),JAMAICA
police_station_wgs84.172,POINT (-76.85389301808544 18.32419980005374),JAMAICA
police_station_wgs84.173,POINT (-77.36481244426538 18.22376110230502),JAMAICA
police_station_wgs84.174,POINT (-77.24309520712113 17.807520210300773),JAMAICA
police_station_wgs84.175,POINT (-76.94262054756267 17.995941884013),JAMAICA
police_station_wgs84.176,POINT (-76.78766854369053 18.00595658709151),JAMAICA
police_station_wgs84.177,POINT (-77.84893024000002 18.02437459000002),
police_station_wgs84.178,POINT (-77.1127082 17.938758060000005),
police_station_wgs84.179,POINT (-76.78833534 18.007773899999926),
police_station_wgs84.180,POINT (-78.0751563 18.450863510000094),
police_station_wgs84.181,POINT (-78.17223131 18.446341050000104),
police_station_wgs84.182,POINT (-78.27480854 18.38833435),
police_station_wgs84.183,POINT (-78.17939213 18.449852320000016),
police_station_wgs84.184,POINT (-76.77820170002187 17.968058339987923),
police_station_wgs84.185,POINT (-76.77872063002177 17.96788677004186),
police_station_wgs84.186,POINT (-76.77824847002587 17.969131980049678),
police_station_wgs84.187,POINT (-76.77893016996912 17.968774580058916),
police_station_wgs84.188,POINT (-76.77902605996331 17.968821770070058),
